dish_id,total_calories,total_mass,ingredients,split
dish_1561662216,300.794281,193.0,ingr_0000000508;ingr_0000000122;ingr_0000000026;ingr_0000000524;ingr_0000000094;ingr_0000000023;ingr_0000000189;ingr_0000000054;ingr_0000000029;ingr_0000000328;ingr_0000000291;ingr_0000000520;ingr_0000000161;ingr_0000000462;ingr_0000000525;ingr_0000000312;ingr_0000000513,test
dish_1561662054,419.438782,292.0,ingr_0000000312;ingr_0000000026;ingr_0000000029;ingr_0000000122;ingr_0000000508;ingr_0000000513;ingr_0000000520;ingr_0000000525;ingr_0000000161;ingr_0000000094;ingr_0000000189;ingr_0000000043;ingr_0000000462;ingr_0000000054;ingr_0000000328;ingr_0000000291;ingr_0000000524,train
dish_1562008979,382.936646,290.0,ingr_0000000448;ingr_0000000520;ingr_0000000462;ingr_0000000514;ingr_0000000152;ingr_0000000312;ingr_0000000291;ingr_0000000045;ingr_0000000122;ingr_0000000006;ingr_0000000161;ingr_0000000524;ingr_0000000116,test
dish_1560455030,20.59,103.0,ingr_0000000471;ingr_0000000031;ingr_0000000347,train
dish_1558372433,74.360001,143.0,ingr_0000000453,train
dish_1565640549,45.482903,139.0,ingr_0000000032;ingr_0000000523;ingr_0000000161;ingr_0000000526;ingr_0000000520;ingr_0000000094;ingr_0000000031;ingr_0000000291;ingr_0000000515;ingr_0000000448;ingr_0000000014;ingr_0000000367;ingr_0000000349;ingr_0000000471,train
dish_1563207364,309.269989,271.0,ingr_0000000008;ingr_0000000192;ingr_0000000440;ingr_0000000128;ingr_0000000161;ingr_0000000437,train
dish_1561575474,120.058434,183.0,ingr_0000000291;ingr_0000000335;ingr_0000000433;ingr_0000000007;ingr_0000000161,train
dish_1563216717,246.007996,332.0,ingr_0000000122;ingr_0000000021;ingr_0000000471;ingr_0000000244;ingr_0000000036;ingr_0000000148;ingr_0000000514;ingr_0000000161;ingr_0000000518;ingr_0000000112;ingr_0000000291;ingr_0000000027,train
dish_1565972591,195.199997,122.0,ingr_0000000510,train
dish_1568649312,44.459999,78.0,ingr_0000000013,train
dish_1562183096,41.18898,95.0,ingr_0000000312;ingr_0000000517;ingr_0000000201;ingr_0000000046;ingr_0000000189;ingr_0000000515;ingr_0000000126;ingr_0000000161;ingr_0000000124;ingr_0000000291,train
dish_1563476551,1116.391113,750.0,ingr_0000000133;ingr_0000000332;ingr_0000000046;ingr_0000000540;ingr_0000000021;ingr_0000000257;ingr_0000000520;ingr_0000000434;ingr_0000000367;ingr_0000000122;ingr_0000000011;ingr_0000000092;ingr_0000000341;ingr_0000000023;ingr_0000000448;ingr_0000000036;ingr_0000000025;ingr_0000000074;ingr_0000000518;ingr_0000000161;ingr_0000000027;ingr_0000000094;ingr_0000000485;ingr_0000000291;ingr_0000000523;ingr_0000000203,train
dish_1559844951,274.335999,122.0,ingr_0000000077;ingr_0000000005,train
dish_1562963704,663.755798,479.0,ingr_0000000073;ingr_0000000525;ingr_0000000189;ingr_0000000291;ingr_0000000433;ingr_0000000029;ingr_0000000508;ingr_0000000006;ingr_0000000122;ingr_0000000328;ingr_0000000312;ingr_0000000026;ingr_0000000462;ingr_0000000180;ingr_0000000152;ingr_0000000380;ingr_0000000161;ingr_0000000045;ingr_0000000535,train
dish_1566417398,56.892494,46.0,ingr_0000000126;ingr_0000000189;ingr_0000000029;ingr_0000000528;ingr_0000000161;ingr_0000000291;ingr_0000000471,train
dish_1561739238,274.190002,257.0,ingr_0000000128;ingr_0000000015;ingr_0000000013;ingr_0000000437,test
dish_1562611680,326.888977,256.0,ingr_0000000523;ingr_0000000122;ingr_0000000161;ingr_0000000392;ingr_0000000520;ingr_0000000094;ingr_0000000189;ingr_0000000201;ingr_0000000291;ingr_0000000006;ingr_0000000010;ingr_0000000072;ingr_0000000448;ingr_0000000036;ingr_0000000126;ingr_0000000026;ingr_0000000073;ingr_0000000038,train
dish_1564432238,455.387939,315.0,ingr_0000000471;ingr_0000000007;ingr_0000000367;ingr_0000000116;ingr_0000000448;ingr_0000000392;ingr_0000000524;ingr_0000000189;ingr_0000000520;ingr_0000000152;ingr_0000000029;ingr_0000000030;ingr_0000000291;ingr_0000000312;ingr_0000000038;ingr_0000000462;ingr_0000000514;ingr_0000000094;ingr_0000000031;ingr_0000000161;ingr_0000000122;ingr_0000000045,train
dish_1563468327,351.886047,483.0,ingr_0000000192;ingr_0000000437;ingr_0000000001;ingr_0000000038;ingr_0000000121;ingr_0000000161;ingr_0000000013,train
dish_1562862493,198.320007,134.0,ingr_0000000008,train
dish_1558549008,20.700001,115.0,ingr_0000000471,train
dish_1560453174,329.716248,256.0,ingr_0000000521;ingr_0000000516;ingr_0000000045;ingr_0000000161;ingr_0000000077;ingr_0000000520;ingr_0000000524;ingr_0000000043;ingr_0000000201;ingr_0000000028;ingr_0000000312;ingr_0000000291;ingr_0000000122;ingr_0000000189;ingr_0000000485;ingr_0000000126;ingr_0000000036;ingr_0000000518;ingr_0000000514;ingr_0000000021,train
dish_1562691032,419.681702,415.0,ingr_0000000013;ingr_0000000161;ingr_0000000038;ingr_0000000008;ingr_0000000433;ingr_0000000027,test
dish_1563824250,17.200001,43.0,ingr_0000000094,train
dish_1560543755,257.924927,264.0,ingr_0000000535;ingr_0000000028;ingr_0000000007;ingr_0000000043;ingr_0000000036;ingr_0000000540;ingr_0000000161;ingr_0000000433;ingr_0000000029;ingr_0000000045;ingr_0000000027;ingr_0000000291;ingr_0000000026;ingr_0000000189;ingr_0000000180;ingr_0000000152;ingr_0000000073;ingr_0000000508;ingr_0000000122,train
dish_1558549773,2.3,10.0,ingr_0000000036,test
dish_1563822597,59.400002,176.0,ingr_0000000027;ingr_0000000006;ingr_0000000021;ingr_0000000485,train
dish_1566920365,490.421692,871.0,ingr_0000000475;ingr_0000000437;ingr_0000000161;ingr_0000000128,test
dish_1563984242,402.117035,753.0,ingr_0000000437;ingr_0000000128;ingr_0000000038;ingr_0000000161;ingr_0000000037,test
dish_1558459276,102.699997,79.0,ingr_0000000026,train
dish_1560974707,55.025124,60.0,ingr_0000000094;ingr_0000000036;ingr_0000000471;ingr_0000000251;ingr_0000000047;ingr_0000000052;ingr_0000000291;ingr_0000000203;ingr_0000000032;ingr_0000000122;ingr_0000000367;ingr_0000000434;ingr_0000000320,train
